,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(50.9k Reviews),Public,"Mumbai,Maharashtra + 270 more",55 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(32.5k Reviews),Public,Dublin + 131 more,34 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(29.9k Reviews),Private,Teaneck. New Jersey. + 101 more,29 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4,(33.8k Reviews),Public,"Mumbai,Maharashtra + 1057 more",29 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4,(39.6k Reviews),Public,"Mumbai,Maharashtra + 1257 more",29 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,(29.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 223 more",78 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(28.5k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",42 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 211 more",37 years old,50k-1 Lakh Employees (India)
9,Genpact,4,(19.5k Reviews),Public,"New York,New York + 68 more",26 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(18.6k Reviews),Public,Noida + 140 more,32 years old,1 Lakh+ Employees (India)
11,Amazon,4.3,(18.7k Reviews),Public,"Seattle,Washington + 377 more",29 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(18.7k Reviews),Public,"Mumbai,Maharashtra + 1102 more",30 years old,50k-1 Lakh Employees (India)
13,IBM,4.2,(15.3k Reviews),Public,"Armonk,New York + 120 more",112 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4,(15.1k Reviews),Public,"Fremont,California + 70 more",40 years old,10k-50k Employees (India)
15,Reliance jio,4,(14.8k Reviews),Public,"Navi Mumbai,Maharashtra + 993 more",16 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(24.3k Reviews),Public,"Mumbai,Maharashtra + 526 more",77 years old,10k-50k Employees (India)
17,HDB Financial Se...,4,(13.4k Reviews),Private,"Ahmedabad,Gujrat + 797 more",16 years old,1 Lakh+ Employees (India)
18,Vodafone Idea,4.2,(13.2k Reviews),Public,"Gandhinagar,Gujrat + 566 more",5 years old,10k-50k Employees (India)
19,Teleperformance,3.6,(14.5k Reviews),Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
20,Reliance Retail,4.1,(16.6k Reviews),Private,"Navi Mumbai,Maharashtra + 697 more",17 years old,10k-50k Employees (India)
21,Kotak Mahindra B...,3.9,(13.5k Reviews),Public,"Mumbai,Maharashtra + 475 more",20 years old,10k-50k Employees (India)
22,Deloitte,4.1,(10.4k Reviews),Private,"New York,New York + 131 more",178 years old,10k-50k Employees (India)
23,Reliance Industr...,4.1,(44.4k Reviews),Public,"Navi Mumbai,Maharashtra + 502 more",50 years old,10k-50k Employees (India)
24,Bharti Airtel,4.1,(12.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 525 more",28 years old,10k-50k Employees (India)
25,Tata Motors,4.1,(11.9k Reviews),Public,"Pune,Maharashtra + 385 more",78 years old,10k-50k Employees (India)
26,BYJU'S,3.5,(13.1k Reviews),Private,"Bangalore,Karnataka + 256 more",12 years old,1k-5k Employees (India)
27,Flipkart,4.2,(11.7k Reviews),Public,"Bangalore,Karnataka + 447 more",16 years old,10k-50k Employees (India)
28,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
29,Mahindra & Mahin...,3.9,(39.2k Reviews),Public,"Mumbai,Maharashtra + 419 more",78 years old,1 Lakh+ Employees (India)
30,IndusInd Bank,3.8,(6.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 564 more",29 years old,10k-50k Employees (India)
31,Ernst & Young,3.8,(6.3k Reviews),Private,London + 72 more,34 years old,10k-50k Employees (India)
32,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 56 more",6 years old,10k-50k Employees (India)
33,Hinduja Global S...,4,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
34,Infosys BPM,3.9,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
35,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 370 more",40 years old,10k-50k Employees (India)
36,IDFC FIRST Bank,4,(5.4k Reviews),Public,"Mumbai,Maharashtra + 411 more",5 years old,10k-50k Employees (India)
37,HSBC,4.1,(5.8k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
38,Bajaj Finserv,4,(5.2k Reviews),Public,"Pune,Maharashtra + 681 more",16 years old,10k-50k Employees (India)
39,Ericsson,4.3,(5.4k Reviews),Private,"Stockholm,Stockholm County + 129 more",147 years old,10k-50k Employees (India)
40,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 165 more",21 years old,10k-50k Employees (India)
41,Mphasis,3.7,(4.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,10k-50k Employees (India)
42,Startek,3.3,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
43,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.8,(5.1k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
45,Cipla Pharmaceut...,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
46,Yes Bank,4,(4.6k Reviews),Public,"Mumbai,Maharashtra + 361 more",19 years old,10k-50k Employees (India)
47,Udaan,4,(4.6k Reviews),Private,"Bangalore,Karnataka + 320 more",7 years old,1k-5k Employees (India)
48,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 316 more",17 years old,10k-50k Employees (India)
49,Asian Paints,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 344 more",81 years old,10k-50k Employees (India)
50,NTT DATA,4,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 42 more",35 years old,10k-50k Employees (India)
51,ICICI Prudential...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 399 more",23 years old,10k-50k Employees (India)
52,HDFC Life,4.1,(5.6k Reviews),Public,"Mumbai,Maharashtra + 415 more",23 years old,10k-50k Employees (India)
53,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 131 more",55 years old,10k-50k Employees (India)
54,HCL Group,3.8,(24.3k Reviews),Chennai + 69 more,50k-1 Lakh Employees (India),,
55,PwC,3.8,(4.2k Reviews),Partnership,London + 64 more,25 years old,10k-50k Employees (India)
56,EXL Service,3.9,(5.3k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
57,iEnergizer,4.2,(4.1k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
58,Indian Army,4.7,(4.1k Reviews),Public,"New Delhi,Delhi + 268 more",128 years old,1 Lakh+ Employees (India)
59,L&T Infotech,3.8,(4.1k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
60,UltraTech Cement,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 345 more",40 years old,10k-50k Employees (India)
61,Bajaj Finance,4.1,(4.4k Reviews),Private,"Pune,Maharashtra + 626 more",36 years old,10k-50k Employees (India)
62,Home Credit Fina...,4.2,(3.8k Reviews),Private,Gurugram + 101 more,11 years old,5k-10k Employees (India)
63,KPMG,3.8,(4k Reviews),Partnership,Bengaluru/Bangalore + 59 more,36 years old,10k-50k Employees (India)
64,Paytm,3.7,(4.4k Reviews),Public,Noida + 233 more,13 years old,10k-50k Employees (India)
65,Mindtree,4.1,(3.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",24 years old,10k-50k Employees (India)
66,Hindustan Unilev...,4.3,(4.4k Reviews),Public,"Mumbai,Maharashtra + 360 more",90 years old,10k-50k Employees (India)
67,ITC,3.9,(7.1k Reviews),Public,"Kolkata,West Bengal + 243 more",48 years old,5k-10k Employees (India)
68,Ujjivan Small Fi...,4.1,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 379 more",6 years old,10k-50k Employees (India)
69,IIFL,3.9,(3.6k Reviews),Public,"Mumbai,Maharashtra + 504 more",28 years old,1k-5k Employees (India)
70,Bandhan Bank,3.9,(3.7k Reviews),Public,"Kolkata,West Bengal + 563 more",22 years old,50k-1 Lakh Employees (India)
71,OPPO,4,(3.8k Reviews),Public,"Dongguan,Guangdong + 326 more",19 years old,10k-50k Employees (India)
72,JP Morgan Chase,4.2,(3.6k Reviews),Private,"New York,New York + 19 more",23 years old,10k-50k Employees (India)
73,Wells Fargo Indi...,4.2,(3.5k Reviews),Public,"San Francisco,California + 11 more",171 years old,10k-50k Employees (India)
74,Delhivery,4.1,(3.9k Reviews),Private,"Delhi,NCT + 477 more",12 years old,10k-50k Employees (India)
75,Zydus Cadila,4.2,(4.6k Reviews),Public,"Ahmedabad, India + 117 more",71 years old,10k-50k Employees (India)
76,Shriram Transpor...,4.2,(3.8k Reviews),Public,"Mumbai,Maharashtra + 686 more",44 years old,10k-50k Employees (India)
77,Sun Pharmaceutic...,4.2,(3.9k Reviews),Public,Mumbai + 157 more,40 years old,10k-50k Employees (India)
78,Shapoorji Pallon...,4.3,(6.6k Reviews),Private,"Mumbai,Maharashtra + 137 more",158 years old,5k-10k Employees (India)
79,Ashok Leyland,4.1,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 187 more",75 years old,10k-50k Employees (India)
80,Aurobindo Pharma,4,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 50 more",37 years old,10k-50k Employees (India)
81,Vivo,4.1,(3.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 327 more",14 years old,5k-10k Employees (India)
82,Mahindra & Mahin...,4.3,(4.9k Reviews),Public,"Mumbai,Maharashtra + 569 more",32 years old,10k-50k Employees (India)
83,AU Small Finance...,4,(4.3k Reviews),Private,"Jaipur,Rajasthan + 298 more",27 years old,10k-50k Employees (India)
84,Siemens,4.2,(4.8k Reviews),Public,"Munich,Bavaria + 99 more",176 years old,5k-10k Employees (India)
85,Apollo Hospitals,4.1,(5.4k Reviews),Public,"San Francisco,California + 161 more",40 years old,50k-1 Lakh Employees (India)
86,Hewlett-Packard ...,4.3,(3.5k Reviews),Private,"Houston,Texas + 84 more",8 years old,5k-10k Employees (India)
87,Max Life Insuran...,4.2,(3.1k Reviews),JV,"Gurgaon/Gurugram,Haryana + 306 more",23 years old,10k-50k Employees (India)
88,Nokia,4.2,(4.5k Reviews),Private,"Espoo,Southern Finland + 169 more",158 years old,10k-50k Employees (India)
89,TATA Steel,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 122 more",116 years old,10k-50k Employees (India)
90,eClerx,3.6,(3.1k Reviews),Public,"Mumbai,Maharashtra + 15 more",23 years old,10k-50k Employees (India)
91,Hexaware Technol...,3.7,(3.2k Reviews),Public,"Mumbai,Maharashtra + 31 more",33 years old,10k-50k Employees (India)
